"","LotFrontage","LotArea","OverallQual","OverallCond","YearBuilt","YearRemodAdd","TotalBsmtSF","GrLivArea","FullBath","HalfBath","BedroomAbvGr","TotRmsAbvGrd","Fireplaces","GarageCars","YrSold","SalePrice","LotShapes","LotConfigs","Neighborhoods","BldgTypes","HouseStyles","Exterior_1st","Foundations","BsmtFin_Type1","Kitchen_Qual","GarageTypes"
"373",65,8200,7,5,2003,2004,847,1928,2,1,4,8,1,2,2007,219500,"Reg","Inside","CollgCr","1Fam","2Story","VinylSd","PConc","Unf","Gd","BuiltIn"
"374",NA,10020,1,1,1922,1950,683,904,0,1,1,4,0,0,2009,61000,"IR1","Inside","Edwards","1Fam","1Story","Wd Sdng","BrkTil","BLQ","Fa",NA
"375",57,8846,5,5,1996,1996,870,914,1,0,2,5,0,2,2006,148000,"IR1","CulDSac","CollgCr","1Fam","SFoyer","VinylSd","PConc","GLQ","TA","Detchd"
"376",102,11143,8,5,2004,2005,1580,2466,3,0,4,8,1,2,2007,340000,"IR1","Corner","Somerst","1Fam","2Story","CemntBd","PConc","Unf","Gd","Attchd"
"377",88,11394,9,2,2010,2010,1856,1856,1,1,1,8,1,3,2010,394432,"Reg","Corner","StoneBr","1Fam","1Story","VinylSd","PConc","GLQ","Ex","Attchd"
"378",60,8123,6,5,2000,2000,982,1800,2,1,3,7,1,2,2009,179000,"IR1","Inside","Gilbert","1Fam","2Story","VinylSd","PConc","Unf","TA","Attchd"
"379",50,5000,5,6,1924,1950,1026,1691,2,0,3,6,1,1,2010,127000,"Reg","Inside","SWISU","1Fam","1.5Fin","BrkFace","BrkTil","LwQ","Gd","Detchd"
"380",60,7200,7,5,2006,2006,1293,1301,2,0,2,5,1,2,2006,187750,"Reg","Inside","Somerst","1Fam","1Story","VinylSd","PConc","Unf","Gd","Attchd"
"381",79,9245,7,5,2006,2006,939,1797,2,1,3,8,0,2,2007,213500,"IR1","Inside","CollgCr","1Fam","2Story","VinylSd","PConc","Unf","Gd","Attchd"
"382",60,9000,6,3,1928,1950,784,784,1,0,2,5,0,2,2009,76000,"Reg","Corner","SawyerW","1Fam","1.5Unf","Wd Sdng","BrkTil","Unf","TA","Detchd"
"383",NA,53107,6,5,1992,1992,1580,1953,2,1,3,9,2,2,2007,240000,"IR2","Corner","ClearCr","1Fam","2Story","HdBoard","PConc","GLQ","Gd","Attchd"
"384",43,3182,8,5,2004,2005,1256,1269,2,0,2,6,1,2,2010,192000,"Reg","Inside","Blmngtn","TwnhsE","1Story","VinylSd","PConc","GLQ","Gd","Attchd"
"385",58,8410,5,3,1910,1996,658,1184,1,0,5,8,0,0,2006,81000,"Reg","FR2","Edwards","1Fam","1.5Fin","Wd Sdng","PConc","Unf","TA",NA
"386",72,7200,6,6,1976,1976,1041,1125,1,0,3,6,1,1,2009,125000,"Reg","Inside","Edwards","1Fam","SLvl","MetalSd","CBlock","ALQ","TA","Detchd"
"387",93,9382,7,5,1999,2000,1468,1479,2,0,3,6,0,2,2008,191000,"IR1","CulDSac","CollgCr","1Fam","1Story","VinylSd","PConc","Unf","Gd","Attchd"
"388",96,12474,10,5,2007,2008,1682,2332,2,1,3,9,1,3,2008,426000,"Reg","Inside","NridgHt","1Fam","2Story","VinylSd","PConc","GLQ","Ex","BuiltIn"
"389",50,8405,5,8,1900,1950,861,1367,1,0,4,7,0,1,2008,119000,"Reg","Inside","Edwards","1Fam","1.5Fin","MetalSd","BrkTil","Rec","TA","Detchd"
"390",71,12209,6,5,2001,2002,804,1961,2,1,3,7,1,2,2009,215000,"IR1","CulDSac","Mitchel","1Fam","2Story","VinylSd","PConc","ALQ","Gd","BuiltIn"
"391",NA,8339,5,7,1959,1959,0,882,1,0,3,5,0,1,2007,106500,"IR1","Inside","NAmes","1Fam","1Story","MetalSd","Slab",NA,"TA","Attchd"
"392",NA,7446,4,5,1941,1950,788,788,1,0,2,4,2,0,2006,100000,"Reg","Corner","BrkSide","1Fam","1Story","WdShing","CBlock","Rec","TA",NA
"393",60,10134,5,6,1940,1950,735,1034,1,0,2,5,0,1,2007,109000,"Reg","Inside","OldTown","1Fam","1.5Fin","MetalSd","CBlock","Unf","TA","Detchd"
"394",68,9571,5,6,1956,1956,1144,1144,1,0,3,6,0,1,2010,129000,"Reg","Inside","Edwards","1Fam","1Story","Wd Sdng","CBlock","BLQ","TA","Attchd"
"395",60,7200,5,5,1972,1972,894,894,1,0,2,6,0,2,2009,123000,"Reg","Inside","CollgCr","1Fam","1Story","MetalSd","CBlock","Rec","TA","Detchd"
"396",69,7590,5,5,1962,1962,864,1812,2,0,4,8,1,1,2007,169500,"Reg","Inside","NAmes","1Fam","2Story","VinylSd","CBlock","ALQ","TA","Attchd"
"397",60,8967,5,2,1920,1950,961,1077,1,0,2,6,0,1,2007,67000,"Reg","Corner","IDOTRR","1Fam","1Story","MetalSd","BrkTil","Unf","TA","Detchd"
"398",65,8125,7,5,2006,2007,1092,1550,2,0,2,7,0,2,2009,241000,"Reg","Inside","Somerst","1Fam","2Story","CemntBd","PConc","GLQ","Gd","Attchd"
"399",38,14963,8,5,1996,1996,1260,1288,1,1,1,4,2,2,2008,245500,"IR2","Inside","Veenker","TwnhsE","1Story","BrkFace","PConc","GLQ","Ex","Attchd"
"400",65,8767,7,5,2005,2005,1310,1310,2,0,3,6,1,2,2006,164990,"IR1","Inside","CollgCr","1Fam","1Story","VinylSd","PConc","GLQ","Gd","Attchd"
"401",60,10200,5,8,1940,1997,672,672,1,0,2,4,0,1,2008,108000,"Reg","Inside","Sawyer","1Fam","1Story","Wd Sdng","PConc","Unf","TA","Detchd"
"402",93,12090,8,5,1998,1998,1141,2263,2,1,4,10,1,2,2006,258000,"Reg","Corner","NoRidge","1Fam","2Story","VinylSd","PConc","Unf","Gd","BuiltIn"
"403",NA,10364,6,5,1995,1996,806,1572,2,1,3,7,1,2,2007,168000,"IR1","Inside","Gilbert","1Fam","2Story","MetalSd","PConc","Unf","TA","BuiltIn"
"404",NA,9991,4,4,1976,1993,1281,1620,2,0,3,8,1,2,2009,150000,"IR1","Corner","Sawyer","1Fam","1Story","Plywood","CBlock","BLQ","TA","Attchd"
"405",51,10480,6,5,1936,1950,1064,1639,1,0,3,6,0,1,2008,115000,"Reg","Inside","SWISU","1Fam","1.5Fin","MetalSd","BrkTil","Unf","TA","Detchd"
"406",63,15576,6,7,1915,1976,840,1680,2,0,4,8,0,1,2008,177000,"Reg","Inside","Crawfor","1Fam","2Story","Wd Sdng","BrkTil","Unf","TA","Attchd"
"407",109,14154,7,5,2006,2006,1063,2172,2,1,3,9,1,3,2007,280000,"Reg","Corner","NridgHt","1Fam","2Story","VinylSd","PConc","Unf","Gd","Attchd"
"408",85,10800,8,5,2007,2008,1034,2078,2,1,3,8,1,3,2008,339750,"Reg","Inside","Somerst","1Fam","2Story","VinylSd","PConc","GLQ","Ex","Attchd"
"409",68,9571,5,3,1958,1958,1276,1276,1,0,3,5,0,1,2009,60000,"Reg","Inside","Edwards","1Fam","1Story","BrkComm","CBlock","Unf","TA","Attchd"
"410",100,34650,5,5,1955,1955,1056,1056,1,0,3,5,0,2,2006,145000,"Reg","Inside","Gilbert","2fmCon","1Story","Wd Sdng","CBlock","Rec","TA","Attchd"
"411",NA,4403,7,5,2009,2009,1470,1478,2,1,2,7,1,2,2010,222000,"IR2","Inside","Somerst","1Fam","1Story","MetalSd","PConc","GLQ","Gd","Attchd"
"412",56,8960,5,6,1927,1950,1008,1028,1,0,2,5,1,2,2010,115000,"Reg","Inside","OldTown","1Fam","1Story","WdShing","CBlock","Unf","TA","Detchd"
"413",59,11228,7,5,1993,1993,1080,2097,2,1,3,9,1,3,2008,228000,"IR2","CulDSac","SawyerW","1Fam","2Story","VinylSd","PConc","BLQ","Gd","Attchd"
"414",73,8899,7,5,2007,2007,1340,1340,2,0,3,6,0,2,2007,181134,"IR1","Inside","Gilbert","1Fam","1Story","VinylSd","PConc","GLQ","Gd","Attchd"
"415",74,7844,6,7,1978,1978,672,1400,1,1,3,6,1,2,2006,149500,"Reg","Inside","Sawyer","1Fam","2Story","HdBoard","CBlock","ALQ","TA","Attchd"
"416",86,22420,6,6,1918,1950,1370,2624,2,1,4,10,1,3,2007,239000,"IR1","Inside","Crawfor","1Fam","2Story","Wd Sdng","BrkTil","BLQ","TA","Detchd"
"417",60,8160,5,6,1940,1950,756,1134,1,1,3,7,0,1,2007,126000,"Reg","Inside","Edwards","1Fam","1.5Fin","MetalSd","BrkTil","ALQ","TA","Detchd"
"418",65,8450,5,6,1968,1968,1056,1056,1,0,3,6,1,1,2010,142000,"Reg","Inside","NAmes","1Fam","1Story","VinylSd","CBlock","BLQ","TA","Attchd"
"419",78,7060,7,5,1997,1998,1344,1344,2,0,2,8,0,4,2008,206300,"Reg","Inside","Mitchel","Duplex","SFoyer","VinylSd","PConc","GLQ","TA","Attchd"
"420",NA,16635,6,7,1977,2000,1602,1602,2,0,3,8,1,2,2009,215000,"IR1","FR2","NWAmes","1Fam","1Story","CemntBd","CBlock","ALQ","Gd","Attchd"
"421",100,21750,5,5,1954,1954,988,988,1,0,2,4,0,2,2008,113000,"Reg","Inside","Mitchel","1Fam","1Story","HdBoard","CBlock","Unf","TA","Attchd"
"422",80,9200,8,5,1998,1998,1470,2630,2,1,4,8,1,3,2008,315000,"Reg","Inside","NoRidge","1Fam","2Story","VinylSd","PConc","GLQ","Gd","Attchd"
"423",72,9000,6,5,1956,1956,1196,1196,1,0,2,6,1,1,2008,139000,"Reg","Inside","NAmes","1Fam","1Story","Wd Sdng","CBlock","LwQ","TA","Attchd"
"424",60,3378,7,8,1946,1992,651,1389,1,1,3,6,2,1,2009,135000,"Reg","Inside","OldTown","1Fam","2Story","HdBoard","CBlock","Unf","TA","Detchd"
"425",NA,12800,7,5,1989,1989,1518,1644,2,0,2,5,1,2,2009,275000,"Reg","Inside","SawyerW","1Fam","SLvl","Wd Sdng","PConc","GLQ","Gd","Attchd"
"426",77,8593,4,6,1957,1957,907,907,1,0,3,5,0,1,2008,109008,"IR1","Inside","NAmes","1Fam","1Story","MetalSd","CBlock","Rec","TA","Detchd"
"427",64,6762,7,5,2007,2007,1208,1208,2,0,2,6,0,2,2007,195400,"Reg","Inside","CollgCr","1Fam","1Story","VinylSd","PConc","GLQ","Gd","Attchd"
"428",130,11457,6,5,1988,1988,1392,1412,2,0,3,6,1,2,2009,175000,"IR1","Corner","Timber","1Fam","1Story","HdBoard","CBlock","GLQ","Gd","Attchd"
"429",21,1680,6,5,1971,1971,483,987,1,1,2,4,0,1,2008,85400,"Reg","Inside","BrDale","Twnhs","2Story","HdBoard","CBlock","ALQ","TA","Detchd"
"430",60,5586,6,7,1920,1998,901,1198,1,0,4,7,0,0,2008,79900,"IR1","Inside","OldTown","1Fam","1.5Fin","MetalSd","BrkTil","Unf","TA",NA
"431",24,1920,5,5,1971,1971,765,1365,1,1,2,6,0,2,2007,122500,"Reg","Inside","BrDale","TwnhsE","2Story","HdBoard","CBlock","ALQ","TA","Detchd"
"432",100,10839,6,5,1997,1998,926,1604,2,1,3,7,1,2,2008,181000,"IR1","Corner","Gilbert","1Fam","2Story","VinylSd","PConc","Unf","TA","Attchd"
"433",21,1890,4,7,1972,1972,630,630,1,0,1,3,0,0,2008,81000,"Reg","Inside","MeadowV","Twnhs","SFoyer","CemntBd","CBlock","ALQ","TA",NA
"434",43,10667,7,6,1996,1996,799,1661,2,1,3,6,1,2,2009,212000,"IR2","CulDSac","CollgCr","1Fam","2Story","VinylSd","PConc","GLQ","Gd","Attchd"
"435",40,4400,6,8,1920,1950,648,1118,1,0,2,6,0,2,2006,116000,"Reg","Inside","OldTown","1Fam","1.5Fin","Stucco","BrkTil","Unf","TA","Detchd"
"436",50,6000,6,7,1926,2004,884,904,1,0,2,4,0,1,2009,119000,"Reg","Inside","BrkSide","1Fam","1.5Unf","Wd Sdng","PConc","Unf","TA","Detchd"
"437",40,4280,5,6,1913,2002,440,694,1,0,2,4,1,1,2007,90350,"Reg","Inside","Crawfor","1Fam","1Story","WdShing","PConc","LwQ","Gd","Detchd"
"438",67,12354,6,8,1920,2000,684,1196,1,0,3,7,0,2,2009,110000,"Reg","Corner","Edwards","1Fam","1.5Fin","Wd Sdng","BrkTil","Unf","Gd","Detchd"
"439",105,15431,10,5,2008,2008,3094,2402,2,0,2,10,2,3,2009,555000,"Reg","Inside","NridgHt","1Fam","1Story","VinylSd","PConc","GLQ","Ex","Attchd"
"440",92,12108,4,4,1955,1955,1440,1440,2,0,4,8,0,0,2008,118000,"Reg","Inside","Edwards","Duplex","1Story","VinylSd","CBlock","ALQ","Fa",NA
"441",52,6240,5,7,1930,1992,1078,1573,2,0,3,8,1,2,2008,162900,"Reg","Inside","BrkSide","1Fam","1.5Fin","MetalSd","PConc","Unf","TA","Detchd"
"442",53,3922,7,5,2006,2007,1258,1258,2,0,2,6,1,3,2007,172500,"Reg","Inside","Blmngtn","TwnhsE","1Story","WdShing","PConc","Unf","Gd","Attchd"
"443",70,8750,7,5,1994,1995,915,1908,2,1,4,8,1,2,2008,210000,"Reg","Inside","CollgCr","1Fam","2Story","VinylSd","PConc","GLQ","Gd","Attchd"
"444",73,9855,6,5,1956,1956,1436,1689,1,0,3,7,1,2,2009,127500,"Reg","Corner","Edwards","1Fam","1Story","Wd Sdng","CBlock","Unf","TA","Attchd"
"445",137,16492,6,6,1966,2002,1517,1888,2,1,2,6,1,2,2010,190000,"IR1","Corner","NAmes","1Fam","1Story","BrkFace","CBlock","ALQ","Gd","Attchd"
"446",NA,11214,7,5,1998,1999,930,1886,2,1,4,10,1,2,2006,199900,"IR1","Corner","Gilbert","1Fam","2Story","VinylSd","PConc","Unf","Gd","Attchd"
"447",50,8600,6,6,1937,1950,780,1376,2,0,3,7,1,1,2006,119500,"Reg","Inside","IDOTRR","1Fam","1.5Fin","MetalSd","BrkTil","Unf","TA","Detchd"
"448",50,6000,3,7,1948,2002,649,1183,1,1,2,6,0,1,2007,120000,"Reg","Inside","OldTown","1Fam","1.5Fin","MetalSd","CBlock","ALQ","TA","Detchd"
"449",70,5684,6,8,1930,2005,813,813,1,0,2,5,0,1,2006,110000,"Reg","Inside","OldTown","1Fam","1Story","Wd Sdng","BrkTil","Unf","Gd","Detchd"
"450",62,70761,7,5,1975,1975,1533,1533,2,0,2,5,2,2,2006,280000,"IR1","Inside","ClearCr","1Fam","1Story","Plywood","CBlock","ALQ","Gd","Attchd"
"451",NA,9303,6,5,1996,1997,872,1756,2,1,3,7,0,2,2007,204000,"IR1","Corner","Timber","1Fam","2Story","VinylSd","PConc","ALQ","TA","Attchd"
"452",75,9000,8,5,2008,2008,768,1590,2,1,3,6,0,2,2009,210000,"Reg","Inside","Somerst","1Fam","2Story","VinylSd","PConc","Unf","Gd","Attchd"
"453",63,9297,5,5,1976,1976,1728,1728,2,0,4,8,0,2,2006,188000,"Reg","Inside","Mitchel","Duplex","1Story","Plywood","CBlock","ALQ","TA","Detchd"
"454",80,9600,7,6,1973,1973,1242,1242,1,1,3,6,1,2,2007,175500,"Reg","Inside","NWAmes","1Fam","1Story","HdBoard","CBlock","ALQ","TA","Attchd"
"455",34,4571,5,5,1916,1950,624,1344,1,0,4,7,0,3,2008,98000,"Reg","Inside","OldTown","1Fam","2Story","AsbShng","BrkTil","Unf","TA","Detchd"
"456",NA,53227,4,6,1954,1994,1364,1663,1,0,2,6,2,2,2008,256000,"IR1","CulDSac","ClearCr","1Fam","1Story","Plywood","CBlock","BLQ","Gd","Attchd"
"457",NA,5100,8,7,1925,1996,588,1666,1,0,3,7,1,1,2008,161000,"Reg","Inside","OldTown","1Fam","2Story","Stucco","PConc","Unf","Gd","Detchd"
"458",NA,7015,5,4,1950,1950,709,1203,1,0,3,5,1,1,2009,110000,"IR1","Corner","BrkSide","1Fam","1.5Fin","MetalSd","CBlock","LwQ","Gd","Detchd"
"459",75,8004,8,5,2009,2009,832,1935,2,1,3,8,0,2,2009,263435,"IR1","Inside","Somerst","1Fam","2Story","VinylSd","PConc","GLQ","TA","BuiltIn"
"460",60,7200,7,9,1936,2007,560,1135,1,0,3,6,0,2,2009,155000,"Reg","Inside","SWISU","1Fam","2Story","Wd Sdng","PConc","ALQ","Gd","Detchd"
"461",74,11988,6,7,1934,1995,715,1660,1,1,3,6,1,1,2008,188700,"IR1","Inside","Crawfor","1Fam","2Story","Stucco","CBlock","LwQ","TA","Detchd"
"462",60,8430,5,5,1978,1978,1040,1040,2,0,3,5,0,0,2009,124000,"Reg","Inside","CollgCr","1Fam","1Story","HdBoard","CBlock","Rec","TA",NA
"463",NA,3072,7,5,2004,2004,1375,1414,2,0,2,6,1,2,2006,178740,"Reg","Inside","Blmngtn","TwnhsE","1Story","VinylSd","PConc","Unf","Gd","Attchd"
"464",85,10628,7,5,1970,1970,1277,1277,1,0,2,5,1,2,2007,167000,"Reg","Inside","NAmes","1Fam","1Story","Plywood","CBlock","GLQ","TA","Attchd"
"465",79,9480,5,7,1942,1995,728,1644,1,1,3,7,2,1,2007,146500,"Reg","Inside","NAmes","1Fam","2Story","MetalSd","CBlock","LwQ","Gd","Attchd"
"466",98,11428,8,5,2006,2006,1626,1634,2,0,3,7,1,3,2007,250000,"IR1","Inside","NridgHt","1Fam","1Story","VinylSd","PConc","Unf","Gd","Attchd"
"467",76,9291,6,5,1993,1993,832,1710,2,1,3,7,0,2,2008,187000,"IR1","Corner","SawyerW","1Fam","2Story","HdBoard","PConc","GLQ","Gd","Attchd"
"468",NA,6820,8,5,1985,1985,1488,1502,1,1,1,4,0,2,2010,212000,"IR1","Corner","StoneBr","TwnhsE","1Story","HdBoard","PConc","GLQ","Gd","Attchd"
"469",92,11952,7,6,1977,1977,808,1969,2,1,3,8,1,2,2007,190000,"Reg","Inside","NWAmes","1Fam","2Story","WdShing","CBlock","Unf","TA","Attchd"
"470",35,3675,6,5,2005,2005,547,1072,1,0,2,5,0,2,2008,148000,"Reg","Inside","Edwards","TwnhsE","SLvl","VinylSd","PConc","GLQ","TA","Basment"
"471",110,14977,8,5,2006,2007,1976,1976,2,0,2,7,1,3,2007,440000,"IR1","Inside","NridgHt","1Fam","1Story","VinylSd","PConc","GLQ","Gd","Attchd"
"472",41,5330,8,5,2000,2000,1494,1652,2,0,2,6,0,2,2007,251000,"Reg","Inside","StoneBr","TwnhsE","1Story","CemntBd","PConc","GLQ","Ex","Attchd"
"473",80,8480,5,6,1963,1963,970,970,1,0,2,5,0,2,2007,132500,"Reg","Corner","Sawyer","1Fam","1Story","HdBoard","CBlock","GLQ","TA","Detchd"
"474",75,13125,6,5,1997,1998,1478,1493,2,0,3,7,1,2,2008,208900,"Reg","Inside","CollgCr","1Fam","1Story","VinylSd","PConc","GLQ","Gd","Attchd"
"475",105,13693,9,5,2006,2006,2153,2643,2,1,3,9,1,3,2007,380000,"Reg","Inside","NridgHt","1Fam","2Story","VinylSd","PConc","Unf","Ex","BuiltIn"
"476",79,10637,8,5,2007,2008,1705,1718,2,0,3,7,1,3,2009,297000,"Reg","Inside","CollgCr","1Fam","1Story","VinylSd","PConc","GLQ","Gd","Attchd"
"477",50,5925,4,7,1937,2000,907,1131,1,0,2,7,0,2,2007,89471,"Reg","Inside","OldTown","1Fam","1Story","Stucco","BrkTil","Rec","TA","Detchd"
"478",98,16033,9,5,2004,2005,1833,1850,2,0,3,8,1,3,2006,326000,"IR1","FR2","NridgHt","1Fam","1Story","VinylSd","PConc","GLQ","Gd","Attchd"
"479",72,11846,9,5,2003,2004,1792,1792,2,0,2,6,1,3,2006,374000,"IR1","Inside","NridgHt","1Fam","1Story","VinylSd","PConc","GLQ","Ex","Attchd"
"480",50,2500,7,8,1915,2005,910,1826,1,1,4,7,1,1,2009,155000,"Reg","Corner","OldTown","1Fam","2Story","Stucco","PConc","ALQ","Ex","Attchd"
"481",32,4500,6,5,1998,1998,1216,1216,2,0,2,5,0,2,2006,164000,"Reg","FR2","Mitchel","Twnhs","1Story","VinylSd","PConc","GLQ","TA","Attchd"
"482",NA,7758,5,7,1962,2001,999,999,1,0,3,6,0,1,2007,132500,"IR1","Corner","Sawyer","1Fam","1Story","HdBoard","CBlock","ALQ","Gd","Detchd"
"483",80,9600,5,7,1950,2007,1113,1113,1,0,3,5,1,1,2009,147000,"Reg","Inside","NAmes","1Fam","1Story","MetalSd","CBlock","ALQ","Gd","Attchd"
"484",79,10289,5,7,1965,1965,1073,1073,1,1,3,6,0,2,2007,156000,"Reg","Inside","NAmes","1Fam","1Story","MetalSd","CBlock","ALQ","TA","Attchd"
"485",70,12243,5,6,1971,1971,1484,1484,2,0,3,7,1,2,2007,175000,"IR1","Inside","NWAmes","1Fam","1Story","Plywood","CBlock","ALQ","TA","Attchd"
"486",60,10800,5,4,1900,1970,954,2414,2,0,3,10,1,2,2006,160000,"Reg","Corner","OldTown","2fmCon","1.5Fin","Wd Sdng","CBlock","BLQ","TA","Attchd"
"487",21,1526,4,8,1970,2002,630,630,1,0,1,3,0,1,2009,86000,"Reg","Inside","MeadowV","Twnhs","SFoyer","CemntBd","CBlock","GLQ","Gd","Attchd"
"488",NA,2665,5,6,1976,1976,264,1304,1,1,3,4,1,1,2008,115000,"Reg","Inside","MeadowV","TwnhsE","2Story","CemntBd","PConc","Unf","TA","BuiltIn"
"489",79,9490,6,7,1941,1950,806,1578,1,0,3,5,2,1,2006,133000,"Reg","Inside","NAmes","1Fam","1.5Fin","Wd Sdng","CBlock","BLQ","Fa","Attchd"
"490",105,15578,6,5,2006,2006,728,1456,2,1,3,8,0,2,2006,172785,"IR1","Corner","Gilbert","1Fam","2Story","VinylSd","PConc","Unf","TA","Attchd"
"491",70,7931,5,6,1960,1960,1269,1269,1,1,3,6,1,1,2008,155000,"Reg","Inside","NAmes","1Fam","1Story","BrkFace","CBlock","BLQ","TA","Detchd"
"492",50,5784,5,8,1938,1996,190,886,1,0,2,4,0,1,2009,91300,"Reg","Inside","OldTown","1Fam","1Story","MetalSd","BrkTil","Unf","TA","Attchd"
"493",NA,12692,8,5,1992,1993,3200,3228,3,0,4,10,1,2,2007,430000,"IR1","Inside","NoRidge","1Fam","1Story","BrkFace","PConc","GLQ","Gd","Attchd"
"494",60,9120,7,6,1925,1950,1026,1820,2,0,4,8,0,1,2008,184000,"Reg","Inside","BrkSide","1Fam","1.5Fin","Wd Sdng","PConc","Rec","TA","Detchd"
"495",65,7800,5,7,1967,2004,864,899,1,0,3,5,0,1,2009,130000,"Reg","Inside","Sawyer","1Fam","1Story","HdBoard","PConc","ALQ","Gd","Attchd"
"496",70,7535,5,7,1958,1985,912,912,1,0,2,5,0,1,2007,120000,"IR1","Inside","NAmes","1Fam","1Story","MetalSd","CBlock","BLQ","TA","Attchd"
"497",21,1890,6,5,1973,1973,672,1218,1,1,3,7,0,1,2007,113000,"Reg","Inside","BrDale","Twnhs","2Story","HdBoard","CBlock","BLQ","TA","Detchd"
"498",75,9803,7,5,2005,2005,866,1768,2,1,3,7,0,2,2008,226700,"Reg","Inside","Somerst","1Fam","2Story","VinylSd","PConc","GLQ","Gd","Attchd"
"499",70,9170,5,7,1965,1965,1214,1214,1,0,2,6,0,2,2007,140000,"Reg","Corner","Edwards","1Fam","1Story","MetalSd","CBlock","ALQ","TA","Detchd"
"500",100,15602,7,8,1959,1997,1501,1801,2,0,1,6,2,2,2010,289000,"IR1","Inside","Crawfor","1Fam","1Story","BrkFace","CBlock","ALQ","TA","Attchd"
"501",24,2308,6,5,1974,1974,855,1322,2,1,3,6,1,2,2009,147000,"Reg","Inside","NPkVill","TwnhsE","2Story","Plywood","CBlock","ALQ","TA","Attchd"
"502",60,7596,5,5,1952,1952,960,1960,2,0,4,10,0,2,2009,124500,"Reg","Inside","OldTown","Duplex","2Story","Wd Sdng","CBlock","Unf","TA","Detchd"
"503",80,9554,8,5,1993,1994,777,1911,2,1,3,8,1,2,2006,215000,"IR1","Inside","SawyerW","1Fam","2Story","VinylSd","PConc","GLQ","Gd","Attchd"
"504",75,7862,6,5,2009,2009,1218,1218,2,0,2,4,0,2,2009,208300,"IR1","Inside","Somerst","1Fam","1Story","VinylSd","PConc","GLQ","Gd","Attchd"
"505",60,9600,7,9,1928,2005,689,1378,2,0,3,7,1,2,2008,161000,"Reg","Inside","OldTown","1Fam","2Story","MetalSd","BrkTil","Rec","Gd","Detchd"
"506",80,9600,5,6,1959,1959,1041,1041,1,0,3,6,0,1,2009,124500,"Reg","Corner","NAmes","1Fam","1Story","MetalSd","CBlock","ALQ","TA","Attchd"
"507",75,14559,5,7,1951,2000,1008,1363,1,0,2,6,2,1,2009,164900,"Reg","Inside","NAmes","1Fam","1Story","Wd Sdng","CBlock","BLQ","TA","CarPort"
"508",40,6792,7,5,2005,2006,1368,1368,2,0,2,6,1,2,2006,202665,"IR1","Inside","NridgHt","TwnhsE","1Story","VinylSd","PConc","Unf","Gd","Attchd"
"509",70,9100,5,5,1958,1958,864,864,1,0,3,5,0,2,2006,129900,"Reg","Corner","NAmes","1Fam","1Story","VinylSd","CBlock","BLQ","TA","Detchd"
"510",71,9187,6,5,1983,1983,1084,1080,1,1,3,5,0,2,2007,134000,"Reg","Corner","Mitchel","1Fam","1Story","VinylSd","PConc","ALQ","TA","Attchd"
"511",55,10594,5,5,1926,1950,768,789,1,0,2,5,0,1,2007,96500,"Reg","Inside","Crawfor","1Fam","1.5Unf","Wd Sdng","BrkTil","Unf","TA","Detchd"
"512",94,12220,10,5,2009,2009,2006,2020,2,1,3,9,1,3,2009,402861,"Reg","Inside","NridgHt","1Fam","1Story","CemntBd","CBlock","GLQ","Ex","Attchd"
"513",NA,10448,6,6,1972,1972,689,2119,2,1,3,7,1,2,2009,158000,"IR1","Corner","NWAmes","1Fam","SLvl","HdBoard","CBlock","Unf","TA","Attchd"
"514",79,10208,7,5,1996,1997,1264,2344,2,1,3,7,1,3,2009,265000,"IR1","Inside","NoRidge","1Fam","2Story","VinylSd","PConc","Unf","Gd","Attchd"
"515",NA,9531,6,5,1998,1998,794,1796,2,1,3,7,0,2,2007,211000,"IR1","CulDSac","CollgCr","1Fam","2Story","VinylSd","PConc","GLQ","TA","Attchd"
"516",53,10918,7,9,1926,2004,1276,2080,1,1,3,9,2,1,2009,234000,"Reg","Inside","Crawfor","1Fam","2Story","MetalSd","BrkTil","Unf","Gd","Detchd"
"517",60,10800,4,7,1900,2000,0,1294,2,0,3,7,0,0,2008,106250,"Reg","Inside","OldTown","2fmCon","2Story","MetalSd","BrkTil",NA,"TA",NA
"518",90,11988,6,6,1957,1957,1244,1244,1,1,3,6,2,1,2007,150000,"IR1","Corner","NAmes","1Fam","1Story","VinylSd","CBlock","Rec","TA","Attchd"
"519",50,5000,6,7,1947,1950,1004,1664,2,0,3,7,2,2,2006,159000,"Reg","Corner","BrkSide","1Fam","1.5Fin","CemntBd","CBlock","ALQ","TA","Detchd"
"520",95,11787,7,5,1996,1997,1379,2398,2,1,3,8,1,3,2007,315750,"IR1","Inside","NoRidge","1Fam","2Story","VinylSd","PConc","GLQ","Gd","Attchd"
"521",62,7500,7,5,2005,2005,1257,1266,2,0,3,6,1,2,2006,176000,"Reg","Inside","Somerst","1Fam","1Story","VinylSd","PConc","Unf","Gd","Attchd"
"522",70,13300,5,7,1956,2000,928,928,1,0,2,4,0,1,2007,132000,"Reg","Inside","NAmes","1Fam","1Story","Wd Sdng","CBlock","Rec","TA","Attchd"
"523",67,14948,9,5,2008,2008,1452,2713,2,1,3,11,1,3,2008,446261,"IR1","Inside","NridgHt","1Fam","2Story","VinylSd","PConc","GLQ","Ex","Attchd"
"524",58,9098,4,7,1920,2002,528,605,1,0,2,5,0,0,2007,86000,"IR1","Inside","Edwards","1Fam","1Story","Wd Sdng","BrkTil","ALQ","TA",NA
